Cases,Time
1.37215262058426e-07,10.4
0.0,10.401
2.0182389739365292e-08,10.402000000000001
2.6780744455741277e-09,10.403
0.0,10.404
0.0,10.405
6.896459201019107e-09,10.406
2.830209117507513e-08,10.407
5.048167672947899e-08,10.408
3.830025654185646e-08,10.409
0.0,10.41
1.3303613857893225e-07,10.411
1.4173220929789265e-07,10.412
1.5794491693929036e-07,10.413
1.4837975855334016e-07,10.414
1.5072844666783717e-07,10.415000000000001
1.525746769677742e-07,10.416
1.2422134719407568e-07,10.417
1.6040304201823077e-07,10.418000000000001
9.81057482784985e-08,10.419
1.0805033818195229e-07,10.42
9.573066877515385e-08,10.421
9.867821222643e-08,10.422
5.398310386208806e-08,10.423
7.031788041872716e-08,10.424
9.771071870279669e-08,10.425
1.0472741140856923e-07,10.426
1.525512816013933e-07,10.427
1.1901407866290708e-07,10.428
9.627065720287298e-08,10.429
9.676136793572059e-08,10.43
1.0647099986248793e-07,10.431000000000001
1.1172525412481108e-07,10.432
1.1695215656425875e-07,10.433
1.2021918639449078e-07,10.434000000000001
1.4228695635096162e-07,10.435
1.7202607952363402e-07,10.436
1.7953782126513377e-07,10.437
1.6678705716842762e-07,10.438
1.2127438712819876e-07,10.439
1.010309950015533e-07,10.44
2.289058631476631e-07,10.441
0.0,10.442
1.725030902463471e-07,10.443
1.470540912367163e-07,10.444
1.4850386444532686e-07,10.445
7.403652906673062e-08,10.446
5.0827658886094593e-08,10.447000000000001
7.061039110105968e-08,10.448
7.672057874960877e-08,10.449
8.28960427206368e-08,10.450000000000001
1.0008226413264729e-07,10.451
8.87539683675303e-08,10.452
3.170595468397482e-07,10.453
3.0912093916424045e-07,10.454
2.303793178516344e-07,10.455
2.74484383111318e-07,10.456
3.22906991602876e-07,10.457
3.159318143612445e-07,10.458
3.266077948852231e-07,10.459
3.160143553560009e-07,10.46
3.3431012692013614e-07,10.461
3.313817520195005e-07,10.462
2.808055522423177e-07,10.463000000000001
2.6618167937581414e-07,10.464
3.205478801703457e-07,10.465
3.204654172099971e-07,10.466000000000001
7.18175068247651e-07,10.467
7.146277007662345e-07,10.468
7.245182230571202e-07,10.469
7.181352609416239e-07,10.47
7.23276851190924e-07,10.471
6.872935287849847e-07,10.472
6.957005624079437e-07,10.473
6.313984949310525e-07,10.474
6.700054092698521e-07,10.475
6.586063242385577e-07,10.476
6.270749744705182e-07,10.477
6.145881390139829e-07,10.478
6.796143244945944e-07,10.479000000000001
6.714865490443461e-07,10.48
6.584942515635829e-07,10.481
6.329997555492012e-07,10.482000000000001
6.017897642206e-07,10.483
6.08354737466764e-07,10.484
5.787821360799368e-07,10.485
5.669583447878944e-07,10.486
6.153036519444237e-07,10.487
6.438035950432953e-07,10.488
6.118771987785112e-07,10.489
8.437878032780676e-07,10.49
8.346992800087971e-07,10.491
8.616417479772312e-07,10.492
9.545376303714803e-07,10.493
9.705711787101149e-07,10.494
9.230141587893012e-07,10.495000000000001
9.286051103287146e-07,10.496
8.931932882994214e-07,10.497
9.148838569020456e-07,10.498
8.960579556417342e-07,10.499
8.555483333280901e-07,10.5
8.050202133007789e-07,10.501
8.195693539530986e-07,10.502
7.758253866014098e-07,10.503
7.465242498624724e-07,10.504
7.060193562924659e-07,10.505
6.685777157258957e-07,10.506
6.065371736741312e-07,10.507
6.14364413969442e-07,10.508000000000001
6.132889889444714e-07,10.509
6.448233370689699e-07,10.51
6.416126893489037e-07,10.511000000000001
6.481642434972911e-07,10.512
6.419152425005435e-07,10.513
6.267171656662031e-07,10.514
6.248991435693193e-07,10.515
6.442444101560538e-07,10.516
6.361080373158284e-07,10.517
6.514109288247166e-07,10.518
5.848727662961796e-07,10.519
6.023113610637718e-07,10.52
6.000843424642338e-07,10.521
5.127714199036245e-07,10.522
5.306061170268323e-07,10.523
5.037513569530211e-07,10.524000000000001
5.970878801507723e-07,10.525
6.043371750899374e-07,10.526
5.819269682627643e-07,10.527000000000001
6.831265000437087e-07,10.528
6.540518364041551e-07,10.529
6.486050191687571e-07,10.53
6.0322332601888e-07,10.531
6.018747544139948e-07,10.532
5.723741145839138e-07,10.533
5.513524542875638e-07,10.534
5.75549928836219e-07,10.535
5.518823790741896e-07,10.536
5.382250140424698e-07,10.537
5.31588726289717e-07,10.538
6.134944998819077e-07,10.539
5.812231503673478e-07,10.540000000000001
5.720432081056455e-07,10.541
6.394525369803667e-07,10.542
9.601126088099718e-07,10.543000000000001
9.463242250865678e-07,10.544
9.292693739985914e-07,10.545
9.54327344195697e-07,10.546
9.73806878018885e-07,10.547
9.456908198627024e-07,10.548
9.402736129045504e-07,10.549
8.038301165883344e-07,10.55
7.933570397316815e-07,10.551
7.763611341801706e-07,10.552
7.679804964523561e-07,10.553
7.548651837973921e-07,10.554
7.248949534429258e-07,10.555
8.629010915146863e-07,10.556000000000001
9.021815775598472e-07,10.557
8.70908388989786e-07,10.558
8.010733996756768e-07,10.559000000000001
7.871042090987081e-07,10.56
7.920048130365056e-07,10.561
8.139393699641458e-07,10.562
8.031917291598897e-07,10.563
8.295876683894156e-07,10.564
8.251759773754571e-07,10.565
8.446194267264906e-07,10.566
8.406112940529536e-07,10.567
8.618104870848524e-07,10.568
8.846889130474112e-07,10.569
9.507546698302764e-07,10.57
9.27547772461463e-07,10.571
1.0468637192935237e-06,10.572000000000001
1.0692118164317898e-06,10.573
1.0575010210702328e-06,10.574
9.96825570550777e-07,10.575000000000001
9.410477736415492e-07,10.576
9.458832437151264e-07,10.577
8.811291636265939e-07,10.578
8.463566707955511e-07,10.579
8.157098797970039e-07,10.58
7.680311355254098e-07,10.581
1.229846184826151e-06,10.582
1.2062616326091888e-06,10.583
1.182643433815934e-06,10.584
1.1714831080221131e-06,10.585
1.150481602096954e-06,10.586
1.1225714351297857e-06,10.587
1.1021352663134484e-06,10.588000000000001
1.1279171033397237e-06,10.589
1.0820925992703932e-06,10.59
